Placement.points,Contribution,Channel
Twitter-TargetAffluent-WWW(WebsiteCard),0.467502284,Twitter
Twitter-TargetAffluent(WebsiteCard),6.74810947,Twitter
Twitter(VideoCard)-ForbesVideos-AU,0.541990786,Twitter
Twitter(WebsiteCard)-AsianInsights-AI,0,Twitter
Twitter(WebsiteCard)-OfferContent-AU,1,Twitter
UOBPremierBanking,0,Google Search
UOBPriorityBanking,0,Google Search
UOBPrivilegeBanking,3.055549914,Google Search
Wealth_Management,1.085670735,Google Search
Y!AudienceAds-IPSG,0,Yahoo!
Y!AudienceAds-IPSG(impression),33.89741253,Yahoo!
Y!AudienceAds-IPSGInterestTargetFinance,1.301955907,Yahoo!
Y!AudienceAds-IPSGInterestTargetFinance(impression),51.02755526,Yahoo!
Yahoo-ContentPage-OfferContent--AU,0.304045214,Yahoo!
Yahoo-ContentPage-OfferContent--AU(impression),0.212127868,Yahoo!
Yahoo-Instream-Business-AU,0,Yahoo!
Yahoo-Instream-Business-OfferContent-AU,0,Yahoo!
Yahoo-Instream-PersonalFinance-AU,1.315415726,Yahoo!
Yahoo-Instream-PersonalFinance-OfferContent-AU,1.315415726,Yahoo!
Yahoo-StreamAds-GeneralTargeting,17.85760923,Yahoo!
Yahoo-StreamAds-GeneralTargeting(impression),60.17691329,Yahoo!
Yahoo-StreamAds-Retargeting,5.739482295,Yahoo!
Yahoo-StreamAds-Retargeting(impression),28.29960493,Yahoo!
YahooSGFinanceROS(Age30-49)-Billboard,0.255888842,Yahoo!
YahooSGFinanceROS(Age30-49)-Billboard(impression),11.49518048,Yahoo!
YouTubeTrueviewInstream-ForbesVideos-AU,0,YouTube
