"channel_name","removal_effects"
"AOD-AsianUnstoppables-ChanYiWen-VideoAds-AU(impression)",0.000913
"Forbes-BonusAd-Leaderboard-(impression)",0.001777
"AOD-PMP-PG-WSJ-WSJDNGlobal-RunofBusiness",0.000855
"AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop",0.000823
"Dianomi-Desktop",0.00421
"AOD-Remarketing-DisplayandFacebookAdExchange",0.001744
"Yahoo-Instream-PersonalFinance-AU",0.002721
"Yahoo-Instream-PersonalFinance-OfferContent-AU",0.002749
"OutBrain-ForbesVideos-AU",0.006112
"UOBPrivilegeBanking",0.004407
"Twitter-TargetAffluent-Webinar(WebsiteCard)",0.00511
"Twitter-TargetAffluent-WWW(WebsiteCard)",0.002499
"Yahoo-ContentPage-OfferContent--AU(impression)",0.002566
"Yahoo-ContentPage-OfferContent--AU",0.002566
"Citigold",0.003452
"FB-CTW(CarouselAd)-AU(impression)",0.016024
"DBSTreasuresTravel",0.000929
"Equity",0.000864
"FB-CTW(VideoAd)ForbesVideos-AU",0.018891
"Facebook-CTW-TargetAffluent(ImageAd)-RiskProfile",0.001752
"Facebook-CTW-TargetAffluent(ImageAd)-WWW",0.000866
"Facebook-CTW-TargetAffluent(ImageAd)-Webinar(impression)",0.003339
"Facebook-R&F-TargetAffluent(CarouselAd)(impression)",0.012661
"Facebook-R&F-TargetAffluent(CarouselAd)",0.008475
"Facebook-TargetAffluent(Clicks-To-WebsiteAd)",0.012784
"Facebook-R&F-TargetAffluent-SequentialImageAds-ForbesU30(impression)",0.00679
"Facebook-R&F-TargetAffluent-SequentialImageAds-ForbesU30",0.001664
"Forbes-BonusAds-Videos(impression)",0.002559
"Gold",0.003472
"GoogleSponsoredPromotion-TargetAffluent",0.011036
"Twitter-TargetAffluent(WebsiteCard)",0.016199
"Twitter(VideoCard)-ForbesVideos-AU",0.002612
"Forbes-BonusAd-HalfPage-",0.000847
"SCBPriorityBanking",0.000836
"StandardCharteredPriorityBanking",0.000849
"Stock_Market",0.000859
"StraitsTimes.com-Homepage-TransAd-18May2016(impression)",0.010669
"StraitsTimes.com-InsidePagesMobileTransAd",0.007546
"Facebook-CTW-TargetAffluent(ImageAd)-RiskProfile(impression)",0.001666
"YahooSGFinanceROS(Age30-49)-Billboard(impression)",0.054161
"Trading_Account",0.001672
"Twitter(WebsiteCard)-OfferContent-AU",0.000865
"StraitsTimes.com-Homepage-TransAd-16May2016",0.000828
"Wealth_Management",0.002579
"AOD-AdExchange-Yahoo",0.001685
"BusinessTimes.com-Homepage-ExpandableSuperLeaderboard",0.000856
"FB-CTW(VideoAd)ForbesVideos-AU(impression)",0.000882
"YahooSGFinanceROS(Age30-49)-Billboard",0.001706
